"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"478","CIBERSORT","DMRfinder","BLCA","183M",0.5,8
"479","EpiSCORE","DMRfinder","BLCA","183M",0.5,8
"480","PRMeth","DMRfinder","BLCA","183M",0.1,7
"481","CelFiE","wgbstools","PC","5M",0.007,1
"482","MetDecode","wgbstools","PC","5M",0.025,2
"483","UXM","wgbstools","PC","5M",0.1,10
"484","EpiDISH","wgbstools","PC","5M",0.05,5
"485","PRMeth","wgbstools","PC","5M",0.025,2
"486","EpiSCORE","wgbstools","PC","5M",0.05,5
"487","meth_atlas","wgbstools","PC","5M",0.05,5
"488","CIBERSORT","wgbstools","PC","5M",0.05,5
"489","Houseman_ineq","wgbstools","PC","5M",0.05,5
"490","Houseman_eq","wgbstools","PC","5M",0.025,2
"491","CelFiE","DMRfinder","PC","5M",0.025,3
"492","MetDecode","DMRfinder","PC","5M",0.025,3
"493","UXM","DMRfinder","PC","5M",0.25,10
"494","EpiDISH","DMRfinder","PC","5M",0.1,8
"495","PRMeth","DMRfinder","PC","5M",0.025,3
"496","EpiSCORE","DMRfinder","PC","5M",0.1,8
"497","meth_atlas","DMRfinder","PC","5M",0.025,3
"498","CIBERSORT","DMRfinder","PC","5M",0.05,7
"499","Houseman_ineq","DMRfinder","PC","5M",0.01,1
"500","Houseman_eq","DMRfinder","PC","5M",0.01,1
"501","CelFiE","limma","PC","5M",0.025,1
"502","MetDecode","limma","PC","5M",0.05,4
"503","UXM","limma","PC","5M",0.5,10
"504","EpiDISH","limma","PC","5M",0.1,7
"505","PRMeth","limma","PC","5M",0.025,1
"506","EpiSCORE","limma","PC","5M",0.1,7
"507","meth_atlas","limma","PC","5M",0.05,4
"508","CIBERSORT","limma","PC","5M",0.1,7
"509","Houseman_ineq","limma","PC","5M",0.05,4
"510","Houseman_eq","limma","PC","5M",0.025,1
"511","Houseman_ineq","limma","PC","15M",0.025,1
"512","Houseman_eq","limma","PC","15M",0.025,1
"513","UXM","limma","PC","15M",0.25,10
"514","MetDecode","limma","PC","15M",0.025,1
"515","CelFiE","limma","PC","15M",0.025,1
"516","PRMeth","limma","PC","15M",0.025,1
"517","EpiDISH","limma","PC","15M",0.05,8
"518","EpiSCORE","limma","PC","15M",0.025,1
"519","meth_atlas","limma","PC","15M",0.05,8
"520","CIBERSORT","limma","PC","15M",0.025,1
"521","Houseman_ineq","DMRfinder","PC","15M",0.01,2
"522","Houseman_eq","DMRfinder","PC","15M",0.01,2
"523","UXM","DMRfinder","PC","15M",0.25,10
"524","MetDecode","DMRfinder","PC","15M",0.025,5
"525","CelFiE","DMRfinder","PC","15M",0.007,1
"526","PRMeth","DMRfinder","PC","15M",0.01,2
"527","EpiDISH","DMRfinder","PC","15M",0.1,8
"528","EpiSCORE","DMRfinder","PC","15M",0.1,8
"529","meth_atlas","DMRfinder","PC","15M",0.025,5
"530","CIBERSORT","DMRfinder","PC","15M",0.05,7
"531","Houseman_ineq","wgbstools","PC","15M",0.05,4
"532","Houseman_eq","wgbstools","PC","15M",0.05,4
"533","UXM","wgbstools","PC","15M",0.1,8
"534","MetDecode","wgbstools","PC","15M",0.025,2
"535","CelFiE","wgbstools","PC","15M",0.007,1
"536","PRMeth","wgbstools","PC","15M",0.025,2
"537","EpiDISH","wgbstools","PC","15M",0.05,4
"538","EpiSCORE","wgbstools","PC","15M",0.1,8
"539","meth_atlas","wgbstools","PC","15M",0.05,4
"540","CIBERSORT","wgbstools","PC","15M",0.1,8
"541","MetDecode","wgbstools","PC","20M",0.025,2
"542","CelFiE","wgbstools","PC","20M",0.007,1
"543","UXM","wgbstools","PC","20M",0.05,4
"544","EpiDISH","wgbstools","PC","20M",0.05,4
"545","meth_atlas","wgbstools","PC","20M",0.05,4
"546","PRMeth","wgbstools","PC","20M",0.025,2
"547","EpiSCORE","wgbstools","PC","20M",0.05,4
"548","CIBERSORT","wgbstools","PC","20M",0.05,4
"549","Houseman_ineq","wgbstools","PC","20M",0.05,4
"550","Houseman_eq","wgbstools","PC","20M",0.05,4
"551","MetDecode","DMRfinder","PC","20M",0.025,5
"552","CelFiE","DMRfinder","PC","20M",0.007,3
"553","UXM","DMRfinder","PC","20M",0.25,10
"554","EpiDISH","DMRfinder","PC","20M",0.025,5
"555","meth_atlas","DMRfinder","PC","20M",0.007,3
"556","PRMeth","DMRfinder","PC","20M",0.025,5
"557","EpiSCORE","DMRfinder","PC","20M",0.1,9
"558","CIBERSORT","DMRfinder","PC","20M",0.05,8
"559","Houseman_ineq","DMRfinder","PC","20M",0.003,1
"560","Houseman_eq","DMRfinder","PC","20M",0.003,1
"561","MetDecode","limma","PC","20M",0.007,2
"562","CelFiE","limma","PC","20M",0.003,1
"563","UXM","limma","PC","20M",0.1,10
"564","EpiDISH","limma","PC","20M",0.025,5
"565","meth_atlas","limma","PC","20M",0.025,5
"566","PRMeth","limma","PC","20M",0.025,5
"567","EpiSCORE","limma","PC","20M",0.025,5
"568","CIBERSORT","limma","PC","20M",0.025,5
"569","Houseman_ineq","limma","PC","20M",0.007,2
"570","Houseman_eq","limma","PC","20M",0.007,2
"571","Houseman_ineq","wgbstools","PC","2M",0.05,2
"572","CelFiE","wgbstools","PC","2M",0.025,1
"573","MetDecode","wgbstools","PC","2M",0.05,2
"574","UXM","wgbstools","PC","2M",0.1,7
"575","PRMeth","wgbstools","PC","2M",0.05,2
"576","EpiDISH","wgbstools","PC","2M",0.1,7
"577","EpiSCORE","wgbstools","PC","2M",0.1,7
"578","meth_atlas","wgbstools","PC","2M",0.05,2
"579","CIBERSORT","wgbstools","PC","2M",0.1,7
"580","Houseman_eq","wgbstools","PC","2M",0.05,2
"581","Houseman_ineq","limma","PC","2M",0.025,3
"582","CelFiE","limma","PC","2M",0.025,3
"583","MetDecode","limma","PC","2M",0.025,3
"584","UXM","limma","PC","2M",0.5,10
"585","PRMeth","limma","PC","2M",0.1,7
"586","EpiDISH","limma","PC","2M",0.1,7
"587","EpiSCORE","limma","PC","2M",0.01,1
"588","meth_atlas","limma","PC","2M",0.025,3
"589","CIBERSORT","limma","PC","2M",0.01,1
"590","Houseman_eq","limma","PC","2M",0.1,7
"591","Houseman_ineq","DMRfinder","PC","2M",0.025,3
"592","CelFiE","DMRfinder","PC","2M",0.025,3
"593","MetDecode","DMRfinder","PC","2M",0.025,3
"594","UXM","DMRfinder","PC","2M",0.5,10
"595","PRMeth","DMRfinder","PC","2M",0.05,6
"596","EpiDISH","DMRfinder","PC","2M",0.25,8
"597","EpiSCORE","DMRfinder","PC","2M",0.25,8
"598","meth_atlas","DMRfinder","PC","2M",0.01,1
"599","CIBERSORT","DMRfinder","PC","2M",0.1,7
"600","Houseman_eq","DMRfinder","PC","2M",0.01,1
"601","Houseman_eq","DMRfinder","PC","10M",0.007,1
"602","CelFiE","DMRfinder","PC","10M",0.007,1
"603","MetDecode","DMRfinder","PC","10M",0.01,5
"604","UXM","DMRfinder","PC","10M",0.1,10
"605","EpiDISH","DMRfinder","PC","10M",0.05,8
"606","PRMeth","DMRfinder","PC","10M",0.01,5
"607","EpiSCORE","DMRfinder","PC","10M",0.05,8
"608","CIBERSORT","DMRfinder","PC","10M",0.025,7
"609","meth_atlas","DMRfinder","PC","10M",0.007,1
"610","Houseman_ineq","DMRfinder","PC","10M",0.007,1
"611","Houseman_eq","wgbstools","PC","10M",0.025,2
"612","CelFiE","wgbstools","PC","10M",0.007,1
"613","MetDecode","wgbstools","PC","10M",0.025,2
"614","UXM","wgbstools","PC","10M",0.025,2
"615","EpiDISH","wgbstools","PC","10M",0.05,6
"616","PRMeth","wgbstools","PC","10M",0.025,2
"617","EpiSCORE","wgbstools","PC","10M",0.05,6
"618","CIBERSORT","wgbstools","PC","10M",0.05,6
"619","meth_atlas","wgbstools","PC","10M",0.05,6
"620","Houseman_ineq","wgbstools","PC","10M",0.05,6
"621","Houseman_eq","limma","PC","10M",0.01,2
"622","CelFiE","limma","PC","10M",0.007,1
"623","MetDecode","limma","PC","10M",0.01,2
"624","UXM","limma","PC","10M",0.1,10
"625","EpiDISH","limma","PC","10M",0.05,9
"626","PRMeth","limma","PC","10M",0.01,2
"627","EpiSCORE","limma","PC","10M",0.01,2
"628","CIBERSORT","limma","PC","10M",0.01,2
"629","meth_atlas","limma","PC","10M",0.01,2
"630","Houseman_ineq","limma","PC","10M",0.01,2
"631","Houseman_eq","limma","LC","5M",0.025,1
"632","MetDecode","limma","LC","5M",0.05,4
"633","CelFiE","limma","LC","5M",0.025,1
"634","UXM","limma","LC","5M",0.5,10
"635","EpiDISH","limma","LC","5M",0.1,7
"636","EpiSCORE","limma","LC","5M",0.1,7
"637","PRMeth","limma","LC","5M",0.05,4
"638","meth_atlas","limma","LC","5M",0.05,4
"639","CIBERSORT","limma","LC","5M",0.1,7
"640","Houseman_ineq","limma","LC","5M",0.025,1
"641","Houseman_eq","wgbstools","LC","5M",0.1,3
"642","MetDecode","wgbstools","LC","5M",1,10
"643","CelFiE","wgbstools","LC","5M",0.025,1
"644","UXM","wgbstools","LC","5M",0.1,3
"645","EpiDISH","wgbstools","LC","5M",0.1,3
"646","EpiSCORE","wgbstools","LC","5M",0.25,9
"647","PRMeth","wgbstools","LC","5M",0.025,1
"648","meth_atlas","wgbstools","LC","5M",0.1,3
"649","CIBERSORT","wgbstools","LC","5M",0.1,3
"650","Houseman_ineq","wgbstools","LC","5M",0.1,3
"651","Houseman_eq","DMRfinder","LC","5M",0.05,4
"652","MetDecode","DMRfinder","LC","5M",0.025,2
"653","CelFiE","DMRfinder","LC","5M",0.025,2
"654","UXM","DMRfinder","LC","5M",0.5,10
"655","EpiDISH","DMRfinder","LC","5M",0.1,7
"656","EpiSCORE","DMRfinder","LC","5M",0.1,7
"657","PRMeth","DMRfinder","LC","5M",0.05,4
"658","meth_atlas","DMRfinder","LC","5M",0.003,1
"659","CIBERSORT","DMRfinder","LC","5M",0.1,7
"660","Houseman_ineq","DMRfinder","LC","5M",0.05,4
"661","Houseman_eq","limma","LC","10M",0.025,3
"662","MetDecode","limma","LC","10M",0.007,1
"663","UXM","limma","LC","10M",0.25,9
"664","CelFiE","limma","LC","10M",0.007,1
"665","PRMeth","limma","LC","10M",0.025,3
"666","EpiDISH","limma","LC","10M",0.25,9
"667","EpiSCORE","limma","LC","10M",0.05,7
"668","meth_atlas","limma","LC","10M",0.025,3
"669","CIBERSORT","limma","LC","10M",0.1,8
"670","Houseman_ineq","limma","LC","10M",0.025,3
"671","Houseman_eq","DMRfinder","LC","10M",0.01,3
"672","MetDecode","DMRfinder","LC","10M",0.025,5
"673","UXM","DMRfinder","LC","10M",0.25,10
"674","CelFiE","DMRfinder","LC","10M",0.007,2
"675","PRMeth","DMRfinder","LC","10M",0.025,5
"676","EpiDISH","DMRfinder","LC","10M",0.05,8
"677","EpiSCORE","DMRfinder","LC","10M",0.05,8
"678","meth_atlas","DMRfinder","LC","10M",0.003,1
"679","CIBERSORT","DMRfinder","LC","10M",0.025,5
"680","Houseman_ineq","DMRfinder","LC","10M",0.01,3
"681","Houseman_eq","wgbstools","LC","10M",0.1,4
"682","MetDecode","wgbstools","LC","10M",1,10
"683","UXM","wgbstools","LC","10M",0.1,4
"684","CelFiE","wgbstools","LC","10M",0.025,1
"685","PRMeth","wgbstools","LC","10M",0.025,1
"686","EpiDISH","wgbstools","LC","10M",0.1,4
"687","EpiSCORE","wgbstools","LC","10M",0.1,4
"688","meth_atlas","wgbstools","LC","10M",0.05,3
"689","CIBERSORT","wgbstools","LC","10M",0.1,4
"690","Houseman_ineq","wgbstools","LC","10M",0.1,4
"691","Houseman_ineq","limma","LC","15M",0.025,1
"692","Houseman_eq","limma","LC","15M",0.025,1
"693","MetDecode","limma","LC","15M",0.025,1
"694","CelFiE","limma","LC","15M",0.025,1
"695","UXM","limma","LC","15M",0.25,10
"696","PRMeth","limma","LC","15M",0.025,1
"697","EpiDISH","limma","LC","15M",0.1,7
"698","EpiSCORE","limma","LC","15M",0.1,7
"699","meth_atlas","limma","LC","15M",0.05,6
"700","CIBERSORT","limma","LC","15M",0.1,7
"701","Houseman_ineq","DMRfinder","LC","15M",0.025,1
"702","Houseman_eq","DMRfinder","LC","15M",0.025,1
"703","MetDecode","DMRfinder","LC","15M",0.025,1
"704","CelFiE","DMRfinder","LC","15M",0.025,1
"705","UXM","DMRfinder","LC","15M",0.5,10
"706","PRMeth","DMRfinder","LC","15M",0.025,1
"707","EpiDISH","DMRfinder","LC","15M",0.05,7
"708","EpiSCORE","DMRfinder","LC","15M",0.05,7
"709","meth_atlas","DMRfinder","LC","15M",0.025,1
"710","CIBERSORT","DMRfinder","LC","15M",0.05,7
"711","Houseman_ineq","wgbstools","LC","15M",0.1,5
"712","Houseman_eq","wgbstools","LC","15M",0.1,5
"713","MetDecode","wgbstools","LC","15M",1,10
"714","CelFiE","wgbstools","LC","15M",0.025,1
"715","UXM","wgbstools","LC","15M",0.1,5
"716","PRMeth","wgbstools","LC","15M",0.025,1
"717","EpiDISH","wgbstools","LC","15M",0.25,8
"718","EpiSCORE","wgbstools","LC","15M",0.25,8
"719","meth_atlas","wgbstools","LC","15M",0.05,3
"720","CIBERSORT","wgbstools","LC","15M",0.05,3
"721","Houseman_ineq","limma","LC","20M",0.025,5
"722","Houseman_eq","limma","LC","20M",0.025,5
"723","MetDecode","limma","LC","20M",0.01,2
"724","UXM","limma","LC","20M",0.25,10
"725","CelFiE","limma","LC","20M",0.007,1
"726","PRMeth","limma","LC","20M",0.01,2
"727","EpiDISH","limma","LC","20M",0.1,8
"728","EpiSCORE","limma","LC","20M",0.1,8
"729","meth_atlas","limma","LC","20M",0.01,2
"730","CIBERSORT","limma","LC","20M",0.05,7
"731","Houseman_ineq","wgbstools","LC","20M",0.1,5
"732","Houseman_eq","wgbstools","LC","20M",0.1,5
"733","MetDecode","wgbstools","LC","20M",1,10
"734","UXM","wgbstools","LC","20M",0.025,1
"735","CelFiE","wgbstools","LC","20M",0.025,1
"736","PRMeth","wgbstools","LC","20M",0.025,1
"737","EpiDISH","wgbstools","LC","20M",0.25,8
"738","EpiSCORE","wgbstools","LC","20M",0.25,8
"739","meth_atlas","wgbstools","LC","20M",0.05,4
"740","CIBERSORT","wgbstools","LC","20M",0.1,5
"741","Houseman_ineq","DMRfinder","LC","20M",0.01,3
"742","Houseman_eq","DMRfinder","LC","20M",0.01,3
"743","MetDecode","DMRfinder","LC","20M",0.01,3
"744","UXM","DMRfinder","LC","20M",0.25,10
"745","CelFiE","DMRfinder","LC","20M",0.003,1
"746","PRMeth","DMRfinder","LC","20M",0.025,6
"747","EpiDISH","DMRfinder","LC","20M",0.025,6
"748","EpiSCORE","DMRfinder","LC","20M",0.025,6
"749","meth_atlas","DMRfinder","LC","20M",0.003,1
"750","CIBERSORT","DMRfinder","LC","20M",0.025,6
"751","Houseman_ineq","wgbstools","LC","2M",0.1,3
"752","Houseman_eq","wgbstools","LC","2M",0.1,3
"753","MetDecode","wgbstools","LC","2M",1,10
"754","CelFiE","wgbstools","LC","2M",0.05,1
"755","UXM","wgbstools","LC","2M",0.25,6
"756","EpiDISH","wgbstools","LC","2M",0.25,6
"757","EpiSCORE","wgbstools","LC","2M",0.25,6
"758","PRMeth","wgbstools","LC","2M",0.05,1
"759","meth_atlas","wgbstools","LC","2M",0.1,3
"760","CIBERSORT","wgbstools","LC","2M",0.25,6
"761","Houseman_ineq","limma","LC","2M",0.1,2
"762","Houseman_eq","limma","LC","2M",0.1,2
"763","MetDecode","limma","LC","2M",0.1,2
"764","CelFiE","limma","LC","2M",0.05,1
"765","UXM","limma","LC","2M",0.25,7
"766","EpiDISH","limma","LC","2M",0.25,7
"767","EpiSCORE","limma","LC","2M",0.25,7
"768","PRMeth","limma","LC","2M",0.1,2
"769","meth_atlas","limma","LC","2M",0.1,2
"770","CIBERSORT","limma","LC","2M",0.25,7
"771","Houseman_ineq","DMRfinder","LC","2M",0.05,1
"772","Houseman_eq","DMRfinder","LC","2M",0.05,1
"773","MetDecode","DMRfinder","LC","2M",0.05,1
"774","CelFiE","DMRfinder","LC","2M",0.05,1
"775","UXM","DMRfinder","LC","2M",0.5,10
"776","EpiDISH","DMRfinder","LC","2M",0.1,7
"777","EpiSCORE","DMRfinder","LC","2M",0.05,1
"778","PRMeth","DMRfinder","LC","2M",0.1,7
"779","meth_atlas","DMRfinder","LC","2M",0.05,1
"780","CIBERSORT","DMRfinder","LC","2M",0.1,7
"781","UXM","DMRfinder","CRC","15M",0.5,10
"782","MetDecode","DMRfinder","CRC","15M",0.01,1
"783","CelFiE","DMRfinder","CRC","15M",0.01,1
"784","PRMeth","DMRfinder","CRC","15M",0.025,3
"785","EpiDISH","DMRfinder","CRC","15M",0.1,7
"786","EpiSCORE","DMRfinder","CRC","15M",0.1,7
"787","meth_atlas","DMRfinder","CRC","15M",0.025,3
"788","CIBERSORT","DMRfinder","CRC","15M",0.1,7
"789","Houseman_ineq","DMRfinder","CRC","15M",0.025,3
"790","Houseman_eq","DMRfinder","CRC","15M",0.025,3
"791","UXM","wgbstools","CRC","15M",0.05,6
"792","MetDecode","wgbstools","CRC","15M",1,10
"793","CelFiE","wgbstools","CRC","15M",0.007,1
"794","PRMeth","wgbstools","CRC","15M",0.025,2
"795","EpiDISH","wgbstools","CRC","15M",0.05,6
"796","EpiSCORE","wgbstools","CRC","15M",0.05,6
"797","meth_atlas","wgbstools","CRC","15M",0.025,2
"798","CIBERSORT","wgbstools","CRC","15M",0.05,6
"799","Houseman_ineq","wgbstools","CRC","15M",0.025,2
"800","Houseman_eq","wgbstools","CRC","15M",0.025,2
"801","UXM","limma","CRC","15M",0.1,10
"802","MetDecode","limma","CRC","15M",0.025,6
"803","CelFiE","limma","CRC","15M",0.01,2
"804","PRMeth","limma","CRC","15M",0.01,2
"805","EpiDISH","limma","CRC","15M",0.025,6
"806","EpiSCORE","limma","CRC","15M",0.025,6
"807","meth_atlas","limma","CRC","15M",0.007,1
"808","CIBERSORT","limma","CRC","15M",0.025,6
"809","Houseman_ineq","limma","CRC","15M",0.01,2
"810","Houseman_eq","limma","CRC","15M",0.01,2
"811","MetDecode","DMRfinder","CRC","5M",0.025,1
"812","CelFiE","DMRfinder","CRC","5M",0.025,1
"813","UXM","DMRfinder","CRC","5M",0.5,10
"814","meth_atlas","DMRfinder","CRC","5M",0.025,1
"815","EpiDISH","DMRfinder","CRC","5M",0.25,7
"816","PRMeth","DMRfinder","CRC","5M",0.025,1
"817","EpiSCORE","DMRfinder","CRC","5M",0.25,7
"818","CIBERSORT","DMRfinder","CRC","5M",0.25,7
"819","Houseman_ineq","DMRfinder","CRC","5M",0.025,1
"820","Houseman_eq","DMRfinder","CRC","5M",0.025,1
"821","MetDecode","wgbstools","CRC","5M",0.01,2
"822","CelFiE","wgbstools","CRC","5M",0.01,2
"823","UXM","wgbstools","CRC","5M",0.05,6
"824","meth_atlas","wgbstools","CRC","5M",0.05,6
"825","EpiDISH","wgbstools","CRC","5M",0.1,8
"826","PRMeth","wgbstools","CRC","5M",0.007,1
"827","EpiSCORE","wgbstools","CRC","5M",0.1,8
"828","CIBERSORT","wgbstools","CRC","5M",0.1,8
"829","Houseman_ineq","wgbstools","CRC","5M",0.025,4
"830","Houseman_eq","wgbstools","CRC","5M",0.025,4
"831","MetDecode","limma","CRC","5M",1,10
"832","CelFiE","limma","CRC","5M",0.025,1
"833","UXM","limma","CRC","5M",0.25,9
"834","meth_atlas","limma","CRC","5M",0.05,2
"835","EpiDISH","limma","CRC","5M",0.05,2
"836","PRMeth","limma","CRC","5M",0.05,2
"837","EpiSCORE","limma","CRC","5M",0.1,7
"838","CIBERSORT","limma","CRC","5M",0.1,7
"839","Houseman_ineq","limma","CRC","5M",0.05,2
"840","Houseman_eq","limma","CRC","5M",0.05,2
"841","Houseman_eq","limma","CRC","2M",0.1,4
"842","MetDecode","limma","CRC","2M",0.05,1
"843","CelFiE","limma","CRC","2M",0.05,1
"844","UXM","limma","CRC","2M",1,10
"845","EpiDISH","limma","CRC","2M",0.1,4
"846","EpiSCORE","limma","CRC","2M",0.25,8
"847","meth_atlas","limma","CRC","2M",0.1,4
"848","PRMeth","limma","CRC","2M",0.1,4
"849","CIBERSORT","limma","CRC","2M",0.25,8
"850","Houseman_ineq","limma","CRC","2M",0.05,1
"851","Houseman_eq","wgbstools","CRC","2M",0.05,3
"852","MetDecode","wgbstools","CRC","2M",0.025,2
"853","CelFiE","wgbstools","CRC","2M",0.01,1
"854","UXM","wgbstools","CRC","2M",0.25,7
"855","EpiDISH","wgbstools","CRC","2M",0.25,7
"856","EpiSCORE","wgbstools","CRC","2M",0.25,7
"857","meth_atlas","wgbstools","CRC","2M",0.1,6
"858","PRMeth","wgbstools","CRC","2M",0.05,3
"859","CIBERSORT","wgbstools","CRC","2M",0.25,7
"860","Houseman_ineq","wgbstools","CRC","2M",0.05,3
"861","Houseman_eq","DMRfinder","CRC","2M",0.1,2
"862","MetDecode","DMRfinder","CRC","2M",0.1,2
"863","CelFiE","DMRfinder","CRC","2M",0.05,1
"864","UXM","DMRfinder","CRC","2M",1,10
"865","EpiDISH","DMRfinder","CRC","2M",0.25,8
"866","EpiSCORE","DMRfinder","CRC","2M",0.25,8
"867","meth_atlas","DMRfinder","CRC","2M",0.1,2
"868","PRMeth","DMRfinder","CRC","2M",0.1,2
"869","CIBERSORT","DMRfinder","CRC","2M",0.1,2
"870","Houseman_ineq","DMRfinder","CRC","2M",0.1,2
"871","Houseman_ineq","limma","CRC","20M",0.01,3
"872","UXM","limma","CRC","20M",0.1,10
"873","MetDecode","limma","CRC","20M",0.007,1
"874","CelFiE","limma","CRC","20M",0.007,1
"875","EpiDISH","limma","CRC","20M",0.025,6
"876","PRMeth","limma","CRC","20M",0.01,3
"877","meth_atlas","limma","CRC","20M",0.025,6
"878","EpiSCORE","limma","CRC","20M",0.05,8
"879","CIBERSORT","limma","CRC","20M",0.05,8
"880","Houseman_eq","limma","CRC","20M",0.01,3
"881","Houseman_ineq","wgbstools","CRC","20M",0.025,7
"882","UXM","wgbstools","CRC","20M",0.025,7
"883","MetDecode","wgbstools","CRC","20M",0.003,1
"884","CelFiE","wgbstools","CRC","20M",0.003,1
"885","EpiDISH","wgbstools","CRC","20M",0.01,3
"886","PRMeth","wgbstools","CRC","20M",0.01,3
"887","meth_atlas","wgbstools","CRC","20M",0.01,3
"888","EpiSCORE","wgbstools","CRC","20M",0.01,3
"889","CIBERSORT","wgbstools","CRC","20M",0.025,7
"890","Houseman_eq","wgbstools","CRC","20M",0.025,7
"891","Houseman_ineq","DMRfinder","CRC","20M",0.01,3
"892","UXM","DMRfinder","CRC","20M",0.1,8
"893","MetDecode","DMRfinder","CRC","20M",0.007,2
"894","CelFiE","DMRfinder","CRC","20M",0.003,1
"895","EpiDISH","DMRfinder","CRC","20M",0.05,7
"896","PRMeth","DMRfinder","CRC","20M",0.025,6
"897","meth_atlas","DMRfinder","CRC","20M",0.01,3
"898","EpiSCORE","DMRfinder","CRC","20M",0.1,8
"899","CIBERSORT","DMRfinder","CRC","20M",0.1,8
"900","Houseman_eq","DMRfinder","CRC","20M",0.01,3
"901","MetDecode","limma","CRC","10M",1,10
"902","CelFiE","limma","CRC","10M",0.003,1
"903","UXM","limma","CRC","10M",0.25,9
"904","EpiDISH","limma","CRC","10M",0.025,6
"905","PRMeth","limma","CRC","10M",0.003,1
"906","meth_atlas","limma","CRC","10M",0.007,5
"907","EpiSCORE","limma","CRC","10M",0.025,6
"908","CIBERSORT","limma","CRC","10M",0.025,6
"909","Houseman_ineq","limma","CRC","10M",0.003,1
"910","Houseman_eq","limma","CRC","10M",0.003,1
"911","MetDecode","wgbstools","CRC","10M",1,10
"912","CelFiE","wgbstools","CRC","10M",0.007,1
"913","UXM","wgbstools","CRC","10M",0.05,7
"914","EpiDISH","wgbstools","CRC","10M",0.025,3
"915","PRMeth","wgbstools","CRC","10M",0.01,2
"916","meth_atlas","wgbstools","CRC","10M",0.025,3
"917","EpiSCORE","wgbstools","CRC","10M",0.05,7
"918","CIBERSORT","wgbstools","CRC","10M",0.05,7
"919","Houseman_ineq","wgbstools","CRC","10M",0.025,3
"920","Houseman_eq","wgbstools","CRC","10M",0.025,3
"921","MetDecode","DMRfinder","CRC","10M",0.01,4
"922","CelFiE","DMRfinder","CRC","10M",0.007,1
"923","UXM","DMRfinder","CRC","10M",0.25,10
"924","EpiDISH","DMRfinder","CRC","10M",0.1,7
"925","PRMeth","DMRfinder","CRC","10M",0.025,6
"926","meth_atlas","DMRfinder","CRC","10M",0.01,4
"927","EpiSCORE","DMRfinder","CRC","10M",0.1,7
"928","CIBERSORT","DMRfinder","CRC","10M",0.1,7
"929","Houseman_ineq","DMRfinder","CRC","10M",0.007,1
"930","Houseman_eq","DMRfinder","CRC","10M",0.007,1
"931","Houseman_ineq","limma","NBL","2M",0.003,2
"932","Houseman_eq","limma","NBL","2M",0.003,2
"933","CelFiE","limma","NBL","2M",0.001,1
"934","MetDecode","limma","NBL","2M",0.003,2
"935","UXM","limma","NBL","2M",0.05,6
"936","EpiSCORE","limma","NBL","2M",0.1,7
"937","meth_atlas","limma","NBL","2M",0.003,2
"938","PRMeth","limma","NBL","2M",0.5,10
"939","EpiDISH","limma","NBL","2M",0.1,7
"940","CIBERSORT","limma","NBL","2M",0.1,7
"941","Houseman_ineq","DMRfinder","NBL","2M",0.01,3
"942","Houseman_eq","DMRfinder","NBL","2M",0.025,5
"943","CelFiE","DMRfinder","NBL","2M",0.001,1
"944","MetDecode","DMRfinder","NBL","2M",0.003,2
"945","UXM","DMRfinder","NBL","2M",0.025,5
"946","EpiSCORE","DMRfinder","NBL","2M",0.25,7
"947","meth_atlas","DMRfinder","NBL","2M",0.01,3
"948","PRMeth","DMRfinder","NBL","2M",0.5,8
"949","EpiDISH","DMRfinder","NBL","2M",0.5,8
"950","CIBERSORT","DMRfinder","NBL","2M",0.5,8
"951","Houseman_ineq","wgbstools","NBL","2M",0.007,4
"952","Houseman_eq","wgbstools","NBL","2M",0.007,4
"953","CelFiE","wgbstools","NBL","2M",0.001,1
"954","MetDecode","wgbstools","NBL","2M",0.003,2
"955","UXM","wgbstools","NBL","2M",0.1,9
"956","EpiSCORE","wgbstools","NBL","2M",0.05,6
"957","meth_atlas","wgbstools","NBL","2M",0.003,2
"958","PRMeth","wgbstools","NBL","2M",0.25,10
"959","EpiDISH","wgbstools","NBL","2M",0.05,6
"960","CIBERSORT","wgbstools","NBL","2M",0.05,6
"961","Houseman_eq","wgbstools","NBL","20M",0.003,4
"962","MetDecode","wgbstools","NBL","20M",0.001,1
"963","CelFiE","wgbstools","NBL","20M",0.001,1
"964","UXM","wgbstools","NBL","20M",0.025,6
"965","EpiSCORE","wgbstools","NBL","20M",0.05,7
"966","meth_atlas","wgbstools","NBL","20M",0.001,1
"967","EpiDISH","wgbstools","NBL","20M",0.05,7
"968","PRMeth","wgbstools","NBL","20M",0.25,10
"969","CIBERSORT","wgbstools","NBL","20M",0.05,7
"970","Houseman_ineq","wgbstools","NBL","20M",0.003,4
"971","Houseman_eq","limma","NBL","20M",0.001,1
"972","MetDecode","limma","NBL","20M",0.001,1
"973","CelFiE","limma","NBL","20M",0.001,1
"974","UXM","limma","NBL","20M",0.007,6
"975","EpiSCORE","limma","NBL","20M",0.05,7
"976","meth_atlas","limma","NBL","20M",0.001,1
"977","EpiDISH","limma","NBL","20M",0.1,8
"978","PRMeth","limma","NBL","20M",0.25,10
"979","CIBERSORT","limma","NBL","20M",0.1,8
"980","Houseman_ineq","limma","NBL","20M",0.001,1
"981","Houseman_eq","DMRfinder","NBL","20M",0.01,6
"982","MetDecode","DMRfinder","NBL","20M",0.001,1
"983","CelFiE","DMRfinder","NBL","20M",0.001,1
